poste_technique,plan_entretien,type_travail_code,corps_metier,categorie_travail,nb_visites_preventives,frequence_observee_jours,frequence_officielle_jours,source_frequence,frequence_moyenne_jours,frequence_std_jours,nb_correctifs_total,nb_correctifs_entre_visites,taux_correctif_entre_visites,classe_frequence,frequence_actuelle_jours,frequence_recommandee_jours,cout_actuel_annuel_mad,cout_recommande_annuel_mad,economie_estimee_mad
SF01-PE,216420.0,310.0,Régulation/Instrumentation,Inspection,6,109.2,,observée,109.2,64.0,378,3,0.6,Insuffisant,109.2,76.4,4786.0,3648.0,1138.0
SF01-PE,216421.0,310.0,Régulation/Instrumentation,Inspection,6,109.2,,observée,109.2,64.0,378,3,0.6,Insuffisant,109.2,76.4,4786.0,3648.0,1138.0
SF01-PE,200000012395.0,360.0,Mécanique,Systématique,10,9.6,730.0,observée,9.6,7.5,378,9,1.0,Insuffisant,9.6,6.7,88295.0,65675.0,22620.0
SF01-PE,200000012396.0,360.0,Mécanique,Systématique,14,7.5,730.0,observée,7.5,2.6,378,11,0.85,Insuffisant,7.5,5.2,96766.0,72456.0,24310.0
SF01-PE,200000012397.0,360.0,Mécanique,Systématique,9,9.9,730.0,observée,9.9,7.8,378,7,0.88,Insuffisant,9.9,6.9,75770.0,56650.0,19120.0
SF01-PE,200000012398.0,360.0,Mécanique,Systématique,9,9.9,730.0,observée,9.9,7.8,378,7,0.88,Insuffisant,9.9,6.9,75770.0,56650.0,19120.0
SF01-PE,200000012439.0,360.0,Mécanique,Systématique,10,9.6,730.0,observée,9.6,7.5,378,9,1.0,Insuffisant,9.6,6.7,88295.0,65675.0,22620.0
SF01-PE,200000012440.0,360.0,Mécanique,Systématique,14,7.5,730.0,observée,7.5,2.6,378,11,0.85,Insuffisant,7.5,5.2,96766.0,72456.0,24310.0
SF01-PE,200000012442.0,360.0,Mécanique,Systématique,9,9.9,730.0,observée,9.9,7.8,378,7,0.88,Insuffisant,9.9,6.9,75770.0,56650.0,19120.0
SF01-PE,200000012443.0,360.0,Mécanique,Systématique,9,9.9,730.0,observée,9.9,7.8,378,7,0.88,Insuffisant,9.9,6.9,75770.0,56650.0,19120.0
SF01-PE,200000012456.0,360.0,Mécanique,Systématique,10,9.6,730.0,observée,9.6,7.5,378,9,1.0,Insuffisant,9.6,6.7,88295.0,65675.0,22620.0
SF01-PE,200000012457.0,360.0,Mécanique,Systématique,13,7.1,730.0,observée,7.1,2.1,378,10,0.83,Insuffisant,7.1,5.0,99928.0,74903.0,25025.0
SF01-PE,200000012458.0,360.0,Mécanique,Systématique,9,9.9,730.0,observée,9.9,7.8,378,7,0.88,Insuffisant,9.9,6.9,75770.0,56650.0,19120.0
SF01-PE,200000012469.0,360.0,Mécanique,Systématique,9,9.9,730.0,observée,9.9,7.8,378,7,0.88,Insuffisant,9.9,6.9,75770.0,56650.0,19120.0
SF01-PE,200000012481.0,360.0,Mécanique,Systématique,10,9.6,730.0,observée,9.6,7.5,378,9,1.0,Insuffisant,9.6,6.7,88295.0,65675.0,22620.0
SF01-PE,200000012482.0,360.0,Mécanique,Systématique,13,7.1,730.0,observée,7.1,2.1,378,10,0.83,Insuffisant,7.1,5.0,99928.0,74903.0,25025.0
SF01-PE,200000012483.0,360.0,Mécanique,Systématique,13,7.1,730.0,observée,7.1,2.1,378,10,0.83,Insuffisant,7.1,5.0,99928.0,74903.0,25025.0
SF01-PE,200000012484.0,360.0,Mécanique,Systématique,9,9.9,730.0,observée,9.9,7.8,378,7,0.88,Insuffisant,9.9,6.9,75770.0,56650.0,19120.0
SF01-PE-00LN,52519.0,360.0,Mécanique,Systématique,40,15.0,730.0,observée,15.0,0.6,57,23,0.59,Insuffisant,15.0,10.5,34298.0,26167.0,8131.0
SF01-PE-00LN,55435.0,360.0,Mécanique,Systématique,28,21.4,730.0,observée,21.4,11.3,57,18,0.67,Insuffisant,21.4,15.0,27078.0,20511.0,6567.0
SF01-PE-00LN,55436.0,360.0,Mécanique,Systématique,28,21.4,730.0,observée,21.4,11.3,57,18,0.67,Insuffisant,21.4,15.0,27078.0,20511.0,6567.0
SF01-PE-00LN,55437.0,360.0,Mécanique,Systématique,29,20.6,730.0,observée,20.6,11.7,57,18,0.64,Insuffisant,20.6,14.4,26947.0,20463.0,6484.0
SF01-PE-00LN,55438.0,360.0,Mécanique,Systématique,29,20.6,730.0,observée,20.6,11.7,57,18,0.64,Insuffisant,20.6,14.4,26947.0,20463.0,6484.0
SF01-PE-00LN,55670.0,360.0,Mécanique,Systématique,34,19.2,30.0,observée,19.2,33.7,57,16,0.48,Insuffisant,19.2,13.4,22140.0,17118.0,5022.0
SF01-PE-00LN,55671.0,310.0,Mécanique,Inspection,6,23.8,730.0,observée,23.8,9.4,57,3,0.6,Insuffisant,23.8,16.7,21958.0,16736.0,5222.0
SF01-PE-00LN,55671.0,350.0,Mécanique,Graissage,16,27.9,730.0,observée,27.9,6.5,57,11,0.73,Insuffisant,27.9,19.5,22517.0,16981.0,5536.0
SF01-PE-00LN,216351.0,290.0,Régulation/Instrumentation,Inspection,26,14.0,,observée,14.0,9.3,57,12,0.48,Insuffisant,14.0,9.8,30363.0,23476.0,6887.0
SF01-PE-00LN,216351.0,310.0,Régulation/Instrumentation,Inspection,5,11.8,,observée,11.8,3.9,57,4,1.0,Insuffisant,11.8,8.3,71833.0,53431.0,18402.0
SF01-PE-00LN-ASSAIN-0HB145,54997.0,360.0,Mécanique,Systématique,4,123.3,730.0,observée,123.3,87.6,18,2,0.67,Insuffisant,123.3,86.3,4700.0,3560.0,1140.0
SF01-PE-00LN-ASSAIN-0HB145,55001.0,310.0,Mécanique,Inspection,3,274.5,730.0,observée,274.5,58.5,18,2,1.0,Insuffisant,274.5,192.1,3088.0,2297.0,791.0
SF01-PE-00LN-ASSAIN-0HB145,55004.0,350.0,Mécanique,Graissage,108,7.2,730.0,observée,7.2,3.0,18,14,0.13,Adéquat,7.2,7.2,19539.0,19539.0,0.0
SF01-PE-00LN-ASSAIN-0HC229,55229.0,310.0,Mécanique,Inspection,3,228.5,730.0,observée,228.5,104.5,7,1,0.5,Insuffisant,228.5,159.9,1931.0,1489.0,442.0
SF01-PE-00LN-ASSAIN-0HC229,55230.0,310.0,Mécanique,Inspection,4,151.0,730.0,observée,151.0,63.8,7,1,0.33,Insuffisant,151.0,105.7,2008.0,1600.0,408.0
SF01-PE-00LN-ASSAIN-0HC229,55234.0,360.0,Mécanique,Systématique,7,75.0,730.0,observée,75.0,30.3,7,3,0.5,Insuffisant,75.0,52.5,5884.0,4537.0,1348.0
SF01-PE-00LN-ASSAIN-0HC229,55235.0,350.0,Mécanique,Graissage,108,7.2,730.0,observée,7.2,3.0,7,6,0.06,Adéquat,7.2,7.2,11639.0,11639.0,0.0
SF01-PE-00LN-BROYAG-0HB155,55131.0,360.0,Mécanique,Systématique,4,123.3,730.0,observée,123.3,87.6,28,2,0.67,Insuffisant,123.3,86.3,4700.0,3560.0,1140.0
SF01-PE-00LN-BROYAG-0HB155,55133.0,360.0,Mécanique,Systématique,3,228.5,730.0,observée,228.5,104.5,28,2,1.0,Insuffisant,228.5,159.9,3710.0,2759.0,950.0
SF01-PE-00LN-BROYAG-0HB155,55138.0,360.0,Mécanique,Systématique,3,228.5,730.0,observée,228.5,104.5,28,2,1.0,Insuffisant,228.5,159.9,3710.0,2759.0,950.0
SF01-PE-00LN-BROYAG-0HB155,55139.0,360.0,Mécanique,Systématique,12,49.1,730.0,observée,49.1,19.1,28,8,0.73,Insuffisant,49.1,34.4,12795.0,9649.0,3146.0
SF01-PE-00LN-BROYAG-0HB155,55140.0,350.0,Mécanique,Graissage,107,7.3,730.0,observée,7.3,3.7,28,20,0.19,Insuffisant,7.3,5.1,25950.0,21965.0,3985.0
SF01-PE-00LN-BROYAG-0HB157,55154.0,360.0,Mécanique,Systématique,4,123.3,730.0,observée,123.3,87.6,23,2,0.67,Insuffisant,123.3,86.3,4700.0,3560.0,1140.0
SF01-PE-00LN-BROYAG-0HB157,55162.0,350.0,Mécanique,Graissage,107,7.3,730.0,observée,7.3,3.7,23,17,0.16,Insuffisant,7.3,5.1,22611.0,19580.0,3031.0
SF01-PE-00LN-BROYAG-0HB159,55176.0,360.0,Mécanique,Systématique,4,123.3,730.0,observée,123.3,87.6,23,2,0.67,Insuffisant,123.3,86.3,4700.0,3560.0,1140.0
SF01-PE-00LN-BROYAG-0HB159,55184.0,360.0,Mécanique,Systématique,12,49.1,730.0,observée,49.1,19.1,23,9,0.82,Insuffisant,49.1,34.4,14284.0,10713.0,3571.0
SF01-PE-00LN-BROYAG-0HB159,55185.0,350.0,Mécanique,Graissage,107,7.3,730.0,observée,7.3,3.7,23,20,0.19,Insuffisant,7.3,5.1,25950.0,21965.0,3985.0
