date,pompe,point,vibration_H_mm_s,vibration_V_mm_s,vibration_axiale_A_mm_s,temperature_C,declenche_par_vibration_generale_journaliere,z_score_vibration_generale,type_panne_diagnostique,diagnostic_spectral,gravite
2023-09-11,IP02,moteur_DE,2.27,2.74,5.07,60.9,False,-0.66,Défaut d'alignement,"Défaut d'alignement suspecté — pic marqué à 2x (20.1 Hz), amplitude 5.07 mm/s",alerte
2023-09-18,IP01,moteur_NDE,6.68,2.04,1.86,58.1,False,0.92,Usure roulement (bague extérieure),"Défaut de roulement suspecté (BPFO) — pic à 41.3 Hz, amplitude 6.68 mm/s",alerte
2024-01-15,IP04,moteur_DE,2.33,2.33,5.65,60.5,False,1.07,Défaut d'alignement,"Défaut d'alignement suspecté — pic marqué à 2x (25.0 Hz), amplitude 5.65 mm/s",alerte
2024-02-05,IP03,moteur_NDE,1.97,1.64,7.16,56.2,False,1.52,Défaut d'alignement,"Défaut d'alignement suspecté — pic marqué à 2x (33.3 Hz), amplitude 7.16 mm/s",alerte
2024-02-12,IP03,moteur_DE,2.1,8.94,2.06,68.2,True,5.51,Surchauffe palier,"Non applicable — diagnostic basé sur les données de process (température/courant), pas sur une signature spectrale mécanique",alerte
2024-02-26,IP04,pompe,2.72,2.37,5.35,54.1,False,2.84,Défaut d'alignement,"Défaut d'alignement suspecté — pic marqué à 2x (25.0 Hz), amplitude 5.35 mm/s",alerte
2024-04-15,IP04,moteur_NDE,7.3,2.12,1.79,57.1,False,1.05,Usure roulement (bague extérieure),"Défaut de roulement suspecté (BPFO) — pic à 41.1 Hz, amplitude 7.3 mm/s",alerte
2024-04-29,IP04,moteur_NDE,1.69,1.96,6.83,55.6,False,-0.87,Défaut d'alignement,"Défaut d'alignement suspecté — pic marqué à 2x (24.9 Hz), amplitude 6.83 mm/s",alerte
2024-05-06,IP02,moteur_DE,7.54,2.3,2.4,61.1,False,1.5,Usure roulement (bague extérieure),"Défaut de roulement suspecté (BPFO) — pic à 33.0 Hz, amplitude 7.54 mm/s",alerte
2024-05-13,IP02,moteur_NDE,2.55,1.91,7.18,58.4,False,-0.51,Défaut d'alignement,"Défaut de roulement suspecté (BPFO) — pic à 98.3 Hz, amplitude 0.31 mm/s",alerte
2024-05-13,IP03,moteur_DE,2.22,2.26,7.56,62.8,False,1.42,Défaut d'alignement,"Défaut de roulement suspecté (BPFI) — pic à 87.2 Hz, amplitude 0.31 mm/s",alerte
2024-05-13,IP04,pompe,2.29,5.5,1.8,55.3,True,3.89,Balourd,"Défaut de roulement suspecté (BPFO) — pic à 51.6 Hz, amplitude 5.5 mm/s",surveillance
2024-06-10,IP01,moteur_DE,2.32,6.23,2.16,61.4,True,4.81,Usure roulement (bague intérieure),"Défaut de roulement suspecté (BPFO) — pic à 41.1 Hz, amplitude 6.23 mm/s",alerte
2024-07-08,IP02,moteur_NDE,5.54,1.47,2.1,59.3,False,-0.41,Usure roulement (bague extérieure),"Défaut de roulement suspecté (BPFO) — pic à 33.1 Hz, amplitude 5.54 mm/s",alerte
2024-07-08,IP04,moteur_NDE,1.8,2.3,5.56,55.7,False,-1.01,Défaut d'alignement,"Défaut d'alignement suspecté — pic marqué à 2x (25.0 Hz), amplitude 5.56 mm/s",alerte
2024-07-22,IP04,pompe,2.51,2.09,6.18,58.7,False,-0.57,Défaut d'alignement,"Défaut de roulement suspecté (FTF) — pic à 10.2 Hz, amplitude 0.31 mm/s",alerte
2024-07-22,IP02,pompe,12.74,2.42,2.87,58.6,False,1.21,Usure roulement (bague extérieure),"Défaut de roulement suspecté (BPFO) — pic à 42.1 Hz, amplitude 12.74 mm/s",alerte
2024-07-29,IP01,pompe,8.73,2.98,3.06,63.5,True,7.41,Surchauffe palier,"Non applicable — diagnostic basé sur les données de process (température/courant), pas sur une signature spectrale mécanique",alerte
2024-07-29,IP02,moteur_DE,2.25,5.1,1.96,59.8,False,0.48,Balourd,"Défaut de roulement suspecté (BPFO) — pic à 33.0 Hz, amplitude 5.1 mm/s",surveillance
2024-08-12,IP02,moteur_NDE,6.5,2.27,2.09,55.3,False,0.18,Usure roulement (bague extérieure),"Défaut de roulement suspecté (BPFO) — pic à 33.1 Hz, amplitude 6.5 mm/s",alerte
2024-09-16,IP04,moteur_NDE,12.19,1.9,2.05,63.3,True,3.47,Surchauffe palier,"Non applicable — diagnostic basé sur les données de process (température/courant), pas sur une signature spectrale mécanique",alerte
2024-09-23,IP02,pompe,2.61,2.66,4.93,58.6,False,-0.25,Défaut d'alignement,"Défaut d'alignement suspecté — pic marqué à 2x (20.1 Hz), amplitude 4.93 mm/s",alerte
2024-09-30,IP01,pompe,2.17,2.73,7.82,56.5,False,1.53,Défaut d'alignement,"Défaut de roulement suspecté (FTF) — pic à 10.1 Hz, amplitude 0.36 mm/s",alerte
