date,pompe,point,temperature,H,V,A,defaut_detecte
2023-09-11,1,moteur_DE,57.6,2.11,2.05,1.4,0
2023-09-11,1,moteur_NDE,52.0,1.9,1.84,2.09,0
2023-09-11,1,pompe,50.6,2.28,2.33,2.46,0
2023-09-11,2,moteur_DE,60.9,2.27,2.74,5.07,1
2023-09-11,2,moteur_NDE,52.6,2.34,1.72,2.11,0
2023-09-11,2,pompe,45.1,2.59,2.54,2.76,0
2023-09-11,4,moteur_DE,54.4,1.34,2.19,2.0,0
2023-09-11,4,moteur_NDE,52.1,2.19,2.08,1.89,0
2023-09-11,4,pompe,50.8,2.57,2.35,2.78,0
2023-09-18,1,moteur_DE,53.1,2.09,2.32,2.1,0
2023-09-18,1,moteur_NDE,58.1,6.68,2.04,1.86,1
2023-09-18,1,pompe,51.4,2.56,2.6,2.37,0
2023-09-18,2,moteur_DE,56.5,1.8,2.81,2.16,0
2023-09-18,2,moteur_NDE,54.1,2.29,1.55,1.57,0
2023-09-18,2,pompe,51.6,2.78,2.79,2.79,0
2023-09-18,3,moteur_DE,55.7,2.09,2.79,2.03,0
2023-09-18,3,moteur_NDE,50.7,2.18,1.81,2.6,0
2023-09-18,3,pompe,46.4,2.81,2.83,2.68,0
2023-09-18,4,moteur_DE,54.1,1.95,2.5,2.09,0
2023-09-18,4,moteur_NDE,52.1,1.58,2.09,2.65,0
2023-09-18,4,pompe,50.5,2.71,2.31,2.82,0
2023-09-25,1,moteur_DE,58.0,2.08,1.39,2.03,0
2023-09-25,1,moteur_NDE,51.2,1.97,1.97,1.58,0
2023-09-25,1,pompe,50.3,2.76,2.59,2.69,0
2023-09-25,2,moteur_DE,54.4,2.5,2.21,2.67,0
2023-09-25,2,moteur_NDE,54.5,1.65,2.27,1.82,0
2023-09-25,2,pompe,49.6,2.41,2.21,2.59,0
2023-09-25,3,moteur_DE,57.5,2.41,2.06,2.45,0
2023-09-25,3,moteur_NDE,50.9,1.81,2.19,1.9,0
2023-09-25,3,pompe,49.0,2.03,2.42,2.43,0
2023-09-25,4,moteur_DE,52.4,1.82,2.19,2.78,0
2023-09-25,4,moteur_NDE,53.0,1.8,1.43,2.11,0
2023-09-25,4,pompe,46.9,2.01,2.51,2.51,0
2023-10-02,1,moteur_DE,53.7,2.47,2.01,2.39,0
2023-10-02,1,moteur_NDE,51.8,2.11,2.54,2.0,0
2023-10-02,1,pompe,48.4,2.48,2.65,2.46,0
2023-10-02,2,moteur_DE,52.1,2.06,2.36,2.49,0
2023-10-02,2,moteur_NDE,50.7,1.89,1.82,1.89,0
2023-10-02,2,pompe,52.7,3.03,2.69,2.97,0
2023-10-02,3,moteur_DE,55.1,2.02,2.56,2.08,0
2023-10-02,3,moteur_NDE,50.5,2.22,2.71,2.2,0
2023-10-02,3,pompe,50.9,2.6,2.51,2.25,0
2023-10-02,4,moteur_DE,52.2,1.87,2.2,2.0,0
2023-10-02,4,moteur_NDE,52.1,2.18,2.39,2.5,0
2023-10-02,4,pompe,51.0,2.58,2.51,3.33,0
2023-10-09,1,moteur_DE,52.3,2.09,1.92,2.48,0
2023-10-09,1,moteur_NDE,51.6,1.85,1.54,2.46,0
2023-10-09,1,pompe,52.2,1.94,2.15,2.09,0
2023-10-09,2,moteur_DE,56.4,2.5,2.51,1.85,0
2023-10-09,2,moteur_NDE,51.9,1.82,2.59,1.73,0
2023-10-09,2,pompe,50.7,3.18,2.38,2.46,0
2023-10-09,3,moteur_DE,55.0,2.24,2.21,2.35,0
2023-10-09,3,moteur_NDE,52.0,2.36,2.62,2.67,0
2023-10-09,3,pompe,48.8,2.54,2.75,2.78,0
2023-10-09,4,moteur_DE,54.7,2.1,1.9,2.68,0
2023-10-09,4,moteur_NDE,52.7,1.72,1.33,1.7,0
2023-10-09,4,pompe,49.3,2.56,2.22,2.43,0
2023-10-16,1,moteur_DE,55.2,2.28,2.08,2.39,0
2023-10-16,1,moteur_NDE,49.9,2.02,1.83,2.0,0
2023-10-16,1,pompe,48.7,2.66,2.73,2.5,0
2023-10-16,2,moteur_DE,52.3,2.52,1.93,2.14,0
2023-10-16,2,moteur_NDE,50.6,2.17,1.7,1.62,0
2023-10-16,2,pompe,48.7,2.83,2.77,2.78,0
2023-10-16,3,moteur_DE,53.5,2.2,1.77,2.38,0
2023-10-16,3,moteur_NDE,54.0,2.26,2.34,1.24,0
2023-10-16,3,pompe,49.8,2.72,1.85,3.01,0
2023-10-16,4,moteur_DE,55.6,2.6,2.41,2.32,0
2023-10-16,4,moteur_NDE,55.4,1.97,2.24,1.55,0
2023-10-16,4,pompe,48.2,2.43,2.34,2.09,0
2023-10-23,1,moteur_DE,53.5,2.46,2.33,2.27,0
2023-10-23,1,moteur_NDE,52.3,2.08,1.87,1.7,0
2023-10-23,1,pompe,49.7,2.54,2.56,2.37,0
2023-10-23,2,moteur_DE,56.2,1.7,2.63,1.99,0
2023-10-23,2,moteur_NDE,51.4,1.67,2.32,2.57,0
2023-10-23,2,pompe,48.3,2.25,2.34,2.68,0
2023-10-23,3,moteur_DE,53.9,2.64,2.39,2.3,0
2023-10-23,3,moteur_NDE,50.0,2.11,1.82,2.04,0
2023-10-23,3,pompe,51.4,2.53,2.27,2.71,0
2023-10-23,4,moteur_DE,53.7,2.1,1.77,2.46,0
2023-10-23,4,moteur_NDE,51.5,2.22,1.93,1.82,0
2023-10-23,4,pompe,49.6,2.56,2.38,2.71,0
2023-10-30,1,moteur_DE,52.1,2.27,2.23,2.26,0
2023-10-30,1,moteur_NDE,53.6,1.68,1.93,2.45,0
2023-10-30,1,pompe,51.2,2.69,2.53,2.67,0
2023-10-30,2,moteur_DE,56.6,2.25,2.15,2.48,0
2023-10-30,2,moteur_NDE,51.0,2.48,1.81,2.38,0
2023-10-30,2,pompe,51.3,2.91,2.3,2.95,0
2023-10-30,3,moteur_DE,55.5,2.42,2.66,2.54,0
2023-10-30,3,moteur_NDE,50.7,2.06,2.31,2.0,0
2023-10-30,3,pompe,46.7,3.1,3.04,2.33,0
2023-10-30,4,moteur_DE,54.5,2.76,2.65,2.01,0
2023-10-30,4,moteur_NDE,53.7,2.08,1.96,2.41,0
2023-10-30,4,pompe,47.9,2.52,2.62,2.85,0
2023-11-06,1,moteur_DE,57.0,2.27,1.94,2.55,0
2023-11-06,1,moteur_NDE,51.8,2.25,1.97,2.17,0
2023-11-06,1,pompe,48.7,2.92,2.44,2.15,0
2023-11-06,2,moteur_DE,55.7,2.49,2.1,2.56,0
2023-11-06,2,moteur_NDE,52.4,1.67,2.16,1.65,0
2023-11-06,2,pompe,48.4,2.89,2.34,2.41,0
2023-11-06,3,moteur_DE,53.0,2.4,2.65,2.12,0
2023-11-06,3,moteur_NDE,53.5,2.03,2.08,2.41,0
2023-11-06,3,pompe,50.8,2.74,2.69,2.89,0
2023-11-06,4,moteur_DE,53.8,2.2,2.26,2.0,0
2023-11-06,4,moteur_NDE,53.2,2.3,1.82,2.36,0
2023-11-06,4,pompe,49.1,2.66,2.75,2.59,0
2023-11-13,1,moteur_DE,55.8,1.9,2.86,2.16,0
2023-11-13,1,moteur_NDE,51.6,1.85,2.12,1.94,0
2023-11-13,1,pompe,49.4,2.57,2.42,2.54,0
2023-11-13,2,moteur_DE,54.5,1.97,1.98,2.6,0
2023-11-13,2,moteur_NDE,51.1,2.3,2.27,2.6,0
2023-11-13,2,pompe,49.4,2.78,2.53,2.58,0
2023-11-13,3,moteur_DE,54.6,1.79,2.52,2.86,0
2023-11-13,3,moteur_NDE,51.7,2.4,2.3,1.9,0
2023-11-13,3,pompe,51.2,2.6,2.19,1.99,0
2023-11-13,4,moteur_DE,56.6,1.88,2.18,1.96,0
2023-11-13,4,moteur_NDE,55.2,2.53,1.92,2.14,0
2023-11-13,4,pompe,51.4,2.5,1.94,2.37,0
2023-11-20,1,moteur_DE,52.7,2.02,2.45,2.53,0
2023-11-20,1,moteur_NDE,51.7,1.99,2.02,2.08,0
2023-11-20,1,pompe,50.9,2.94,2.67,2.54,0
2023-11-20,2,moteur_DE,55.6,2.94,2.21,2.17,0
2023-11-20,2,moteur_NDE,50.9,1.71,2.26,2.26,0
2023-11-20,2,pompe,48.0,2.26,2.42,2.74,0
2023-11-20,3,moteur_DE,52.9,1.99,2.33,1.95,0
2023-11-20,3,moteur_NDE,52.9,2.01,1.45,2.16,0
2023-11-20,3,pompe,51.3,2.2,2.59,2.8,0
2023-11-20,4,moteur_DE,54.5,1.91,2.04,2.13,0
2023-11-20,4,moteur_NDE,51.2,2.19,2.25,1.63,0
2023-11-20,4,pompe,48.0,2.82,2.75,2.93,0
2023-11-27,1,moteur_DE,55.9,2.55,1.7,2.18,0
2023-11-27,1,moteur_NDE,51.7,2.3,2.53,2.13,0
2023-11-27,1,pompe,48.0,2.79,2.27,2.9,0
2023-11-27,2,moteur_DE,57.6,1.98,2.26,2.4,0
2023-11-27,2,moteur_NDE,49.4,2.01,1.96,1.92,0
2023-11-27,2,pompe,48.4,3.3,2.71,2.89,0
2023-11-27,3,moteur_DE,55.0,2.03,2.35,2.09,0
2023-11-27,3,moteur_NDE,51.0,1.81,2.05,1.9,0
2023-11-27,3,pompe,47.9,2.61,2.98,2.52,0
2023-11-27,4,moteur_DE,54.0,2.42,2.48,2.24,0
2023-11-27,4,moteur_NDE,52.1,2.27,1.34,2.11,0
2023-11-27,4,pompe,50.4,2.84,2.91,2.57,0
2023-12-04,1,moteur_DE,57.9,2.4,2.52,2.16,0
2023-12-04,1,moteur_NDE,52.6,1.64,1.67,1.82,0
2023-12-04,1,pompe,49.5,2.39,3.15,2.6,0
2023-12-04,2,moteur_DE,52.9,2.21,2.02,2.14,0
2023-12-04,2,moteur_NDE,54.0,2.33,1.92,1.84,0
2023-12-04,2,pompe,47.7,2.92,2.07,2.57,0
2023-12-04,3,moteur_DE,54.3,1.62,3.03,2.36,0
2023-12-04,3,moteur_NDE,50.4,1.97,2.19,1.74,0
2023-12-04,3,pompe,49.0,3.07,2.92,1.95,0
2023-12-04,4,moteur_DE,54.0,1.94,2.49,1.8,0
2023-12-04,4,moteur_NDE,50.8,1.82,2.18,1.65,0
2023-12-04,4,pompe,49.1,2.55,2.75,2.53,0
2023-12-11,1,moteur_DE,58.4,2.27,2.5,1.41,0
2023-12-11,1,moteur_NDE,50.6,2.06,1.68,1.44,0
2023-12-11,1,pompe,51.6,2.76,2.13,2.74,0
2023-12-11,2,moteur_DE,56.5,2.55,2.79,2.63,0
2023-12-11,2,moteur_NDE,52.4,2.44,1.74,1.96,0
2023-12-11,2,pompe,48.3,2.28,2.53,2.31,0
2023-12-11,3,moteur_DE,53.6,2.36,2.23,2.39,0
2023-12-11,3,moteur_NDE,53.0,1.6,2.07,1.71,0
2023-12-11,3,pompe,52.3,2.55,2.78,1.9,0
2023-12-11,4,moteur_DE,56.9,2.07,2.29,2.41,0
2023-12-11,4,moteur_NDE,50.8,2.07,1.92,1.85,0
2023-12-11,4,pompe,49.6,2.9,2.17,2.59,0
2023-12-18,1,moteur_DE,55.7,2.18,2.23,1.84,0
2023-12-18,1,moteur_NDE,53.3,1.94,2.26,2.23,0
2023-12-18,1,pompe,48.6,2.46,2.56,3.43,0
2023-12-18,2,moteur_DE,52.7,2.75,2.12,1.83,0
2023-12-18,2,moteur_NDE,48.4,2.23,2.1,2.4,0
2023-12-18,2,pompe,52.1,2.63,2.98,2.82,0
2023-12-18,3,moteur_DE,55.1,2.66,2.13,2.55,0
2023-12-18,3,moteur_NDE,52.7,2.22,2.1,1.83,0
2023-12-18,3,pompe,49.5,2.76,2.11,2.35,0
2023-12-18,4,moteur_DE,57.9,1.68,2.29,2.8,0
2023-12-18,4,moteur_NDE,52.2,2.78,1.95,2.2,0
2023-12-18,4,pompe,49.7,2.37,2.85,2.73,0
2023-12-25,1,moteur_DE,55.5,2.21,2.09,2.09,0
2023-12-25,1,moteur_NDE,51.5,2.14,1.63,1.66,0
2023-12-25,1,pompe,48.6,2.85,2.64,3.23,0
2023-12-25,2,moteur_DE,54.9,2.38,2.08,2.3,0
2023-12-25,2,moteur_NDE,51.2,2.14,1.78,1.75,0
2023-12-25,2,pompe,51.7,2.75,1.89,2.76,0
2023-12-25,3,moteur_DE,53.7,2.03,2.2,2.47,0
2023-12-25,3,moteur_NDE,51.6,2.1,2.36,2.08,0
2023-12-25,3,pompe,49.2,3.3,2.62,2.61,0
2023-12-25,4,moteur_DE,52.8,2.28,2.44,2.5,0
2023-12-25,4,moteur_NDE,53.6,2.23,2.49,1.66,0
